Movie,Release Date,Distributor,Genre,MPAA,Tickets Sold
LUCK-KEY,10/21/16,JBG Pictures,Comedy,Not Rated,"53,931"
M.S. Dhoni: The Untold Story,9/30/16,FIP,Drama,Not Rated,"208,271"
Ma Ma,5/20/16,Oscilloscope Pictures,Drama,R,"5,463"
Mad Tiger,3/18/16,Film Movement,Documentary,Not Rated,788
Made in France,9/23/16,Under the Milky Way,Thriller/Suspense,Not Rated,"1,053"
Maggieís Plan,5/20/16,Sony Pictures Classics,Comedy,R,"387,483"
Magnus,11/18/16,FilmRise,Documentary,Not Rated,800
Manchester-by-the Sea,11/18/16,Roadside Attractions,Drama,R,"3,291,410"
Marguerite,3/11/16,Cohen Media Group,Drama,R,"57,493"
Marinoni: The Fire in the Frame,4/1/16,First Run Features,Documentary,Not Rated,542
Masterminds,9/30/16,Relativity,Comedy,PG-13,"2,006,577"
Mastizaade,1/29/16,Eros Entertainment,Comedy,Not Rated,"5,017"
Max Rose,9/2/16,Paladin,Drama,Not Rated,"7,731"
Max Steel,10/14/16,Open Road,Action,PG-13,"441,464"
Me Before You,6/3/16,Warner Bros.,Drama,PG-13,"6,502,321"
Mechanic: Resurrection,8/26/16,Lionsgate,Action,R,"2,452,994"
Meet the Blacks,4/1/16,Freestyle Releasing,Comedy,R,"1,051,684"
Mekong Hotel,3/4/16,Strand,Multiple Genres,Not Rated,289
Memoria,4/8/16,Monterey Media,Drama,R,259
Men & Chicken,4/22/16,Drafthouse Films,Black Comedy,Not Rated,"3,492"
Men go to Battle,7/8/16,Film Movement,Drama,Not Rated,"2,081"
Mi America,10/16/16,Industrial House Films,Drama,R,384
Mia madre,8/26/16,Music Box Films,Drama,R,"35,029"
Michael Moore in TrumpLand,10/19/16,Self Distributed,Concert/Performance,Not Rated,"17,235"
Microbe and Gasoline,7/1/16,Screen Media Films,Comedy,R,"7,375"
Middle School: The Worst Years of My Life,10/7/16,Lionsgate,Adventure,PG,"2,312,965"
Midnight Special,3/18/16,Warner Bros.,Drama,PG-13,"429,166"
Mifune: The Last Samurai,11/25/16,Strand,Documentary,Not Rated,"5,715"
Mike and Dave Need Wedding Dates,7/8/16,20th Century Fox,Comedy,R,"5,319,037"
Miles Ahead,4/1/16,Sony Pictures Classics,Drama,R,"301,837"
Mimimalism: A Documentary About the Important Things,5/24/16,Asymmetrical,Documentary,Not Rated,"30,273"
Miracles from Heaven,3/16/16,Sony Pictures,Drama,PG,"7,133,540"
Misfortune,8/5/16,Gunnison Galaxy,Thriller/Suspense,Not Rated,104
Miss Hokusai,10/14/16,GKIDS,Drama,PG-13,"25,742"
Miss Peregrineís Home for Peculiar Children,9/30/16,20th Century Fox,Adventure,PG-13,"10,051,461"
Miss Sharon Jones,7/29/16,Starz Media,Documentary,Not Rated,"13,974"
Miss Sloane,11/25/16,EuropaCorp,Drama,R,"403,888"
Miss Stevens,9/16/16,The Orchard,Comedy,Not Rated,533
Moana,11/23/16,Walt Disney,Musical,PG,"24,282,787"
Mohenjo Daro,8/12/16,UTV Communications,Action,Not Rated,"146,166"
Money Monster,5/13/16,Sony Pictures,Thriller/Suspense,R,"4,741,280"
Monkey King 2,2/5/16,China Lion Film Distribution,Action,Not Rated,"82,078"
Monster Hunt,1/22/16,FilmRise,Adventure,Not Rated,"3,787"
Moonlight,10/21/16,A24,Drama,R,"1,457,776"
Morgan,9/2/16,20th Century Fox,Thriller/Suspense,R,"452,630"
Morris from America,8/19/16,A24,Drama,R,"10,537"
Motherís Day,4/29/16,Open Road,Romantic Comedy,PG-13,"3,756,399"
Mountains May Depart,2/12/16,Kino Lorber,Drama,Not Rated,"9,585"
Mr. Church,9/16/16,Cinelou Releasing,Drama,PG-13,"79,280"
Mr. Donkey,10/28/16,China Lion Film Distribution,Comedy,Not Rated,"41,185"
Mr. Right,4/8/16,Focus World,Romantic Comedy,R,"4,010"
Multiple Maniacs,8/5/16,Janus Films,Comedy,NC-17,"3,819"
My Annoying Brother,12/9/16,CJ Entertainment,Drama,Not Rated,"5,985"
My Best Friendís Wedding,8/12/16,Sony Pictures,Romantic Comedy,PG,"8,906"
My Big Fat Greek Wedding 2,3/25/16,Universal,Comedy,PG-13,"6,900,532"
My Golden Days,3/18/16,Magnolia Pictures,Comedy,R,"31,114"
My King,8/12/16,Film Movement,Drama,Not Rated,"6,255"
"My Love, Don't Cross That River",6/17/16,Film Movement,Documentary,Not Rated,"10,175"
Naam Hai Akira,9/2/16,FIP,Thriller/Suspense,Not Rated,"25,364"
National Bird,11/11/16,FilmRise,Documentary,Not Rated,"1,210"
Neerja,2/19/16,Fox International,Drama,Not Rated,"183,316"
Neighbors 2: Sorority Rising,5/20/16,Universal,Comedy,R,"6,397,772"
Neither Heaven Nor Earth,8/5/16,Film Movement,Multiple Genres,Not Rated,"1,480"
Neon Bull,4/8/16,Kino Lorber,Drama,Not Rated,"3,093"
Neruda,12/16/16,The Orchard,Drama,R,"16,237"
Nerve,7/27/16,Lionsgate,Thriller/Suspense,PG-13,"4,460,534"
